year,players,positions,height,weight,team,nationality
2009,Jameer Nelson,Jameer Nelson,6-0,190,Orlando Magic,United States
2009,Paul Pierce,Paul Pierce,6-7,235,Boston Celtics,United States
2009,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2009,Mo Williams,Mo Williams,6-1,198,Cleveland Cavaliers,United States
2010,Carmelo Anthony,Carmelo Anthony,6-8,240,Denver Nuggets,United States
2010,Chauncey Billups,Chauncey Billups,6-3,210,Denver Nuggets,United States
2010,Kobe Bryant,Kobe Bryant,6-6,212,Los Angeles Lakers,United States
2010,Tim Duncan,Tim Duncan,6-11,250,San Antonio Spurs,United States
2010,Kevin Durant,Kevin Durant,6-10,225,Oklahoma City Thunder,United States
2010,Pau Gasol,Pau Gasol,7-0,250,Los Angeles Lakers,Spain
2010,Chris Kaman,Chris Kaman,7-0,265,Los Angeles Clippers,United StatesGermany
2010,Jason Kidd,Jason Kidd,6-4,210,Dallas Mavericks,United States
2010,Steve Nash,Steve Nash,6-3,178,Phoenix Suns,CanadaSouth Africa
2010,Dirk Nowitzki,Dirk Nowitzki,7-0,245,Dallas Mavericks,Germany
2010,Chris Paul,Chris Paul,6-0,175,New Orleans Hornets,United States
2010,Zach Randolph,Zach Randolph,6-9,260,Memphis Grizzlies,United States
2010,Brandon Roy,Brandon Roy,6-6,211,Portland Trail Blazers,United States
2010,Amar'e Stoudemire,Amar'e Stoudemire,6-10,245,Phoenix Suns,United States
2010,Deron Williams,Deron Williams,6-3,200,Utah Jazz,United States
2010,Chris Bosh,Chris Bosh,6-11,235,Toronto Raptors,United States
2010,Kevin Garnett,Kevin Garnett,6-11,240,Boston Celtics,United States
2010,Al Horford,Al Horford,6-9,240,Atlanta Hawks,Dominican RepublicUnited States
2010,Dwight Howard,Dwight Howard,6-11,265,Orlando Magic,United States
2010,Allen Iverson,Allen Iverson,6-0,165,Philadelphia Sixers,United States
2010,LeBron James,LeBron James,6-8,250,Cleveland Cavaliers,United States
2010,Joe Johnson,Joe Johnson,6-7,240,Atlanta Hawks,United States
2010,David Lee,David Lee,6-9,245,New York Knicks,United States
