year,players,positions,height,weight,team,nationality
2020,Domantas Sabonis,Domantas Sabonis,6-11,240,Indiana Pacers,United StatesLithuania
2020,Ben Simmons,Ben Simmons,6-10,240,Philadelphia Sixers,Australia
2020,Jayson Tatum,Jayson Tatum,6-8,210,Boston Celtics,United States
2020,Russell Westbrook,Russell Westbrook,6-3,200,Houston Rockets,United States
2020,Bam Adebayo,Bam Adebayo,6-10,255,Miami Heat,United States
2020,Giannis Antetokounmpo,Giannis Antetokounmpo,6-11,242,Milwaukee Bucks,GreeceNigeria
2020,Jimmy Butler,Jimmy Butler,6-8,232,Miami Heat,United States
2020,Joel Embiid,Joel Embiid,7-0,280,Philadelphia Sixers,Cameroon
2020,Rudy Gobert,Rudy Gobert,7-1,245,Utah Jazz,France
2020,Brandon Ingram,Brandon Ingram,6-7,190,New Orleans Pelicans,United States
