college,colors
Briar Cliff Chargers,#00205B
Bridgeport Purple Knights,#440099
Bridgewater Eagles,#9D2235
Bridgewater State Bears,#A6192E
BYU,#002E5D
Brooklyn Bulldogsaka Brooklyn Kingsmenaka Brooklyn Kingswomenaka Brooklyn Bridges,#862041
Brown Bears,#4E3629
Bryant Bulldogsaka Bryant Indians,#231F20
Bryant Lions,#9D2235
Bryn Athyn Lions,#ba0c2f
Bryn Mawr Owlsaka Bryn Mawr Mawrters,#FEDB00
Bucknell Bison,#003865
Buena Vista Beavers,#0C2340
Buffalo Bullsaka Buffalo Bisonsaka Buffalo Royals,#005BBB
Buffalo State,#CC6600
Bushnell Beaconsaka Bushnell Crusaders,#041E42
Butler,#13294B
CSU–Pueblo ThunderWolves,#00396A
Cabrini Cavaliersaka Cabrini Lady Cavaliers,#00205B
Cairn Highlandersaka Cairn Crimson Eagles,#6F263D
Cal Maritime Keelhaulers,#002855
Cal Poly Mustangs,#003831
Cal Poly Pomona Broncos,#1E4D2B
Cal State Bakersfield Roadrunners,#003594
Cal State Dominguez Hills Toros,#860038
Cal State East Bay Pioneers,#C70C2B
Cal State Fullerton,#00274C
Cal State Los Angeles Golden Eagles,#000000
Cal State Monterey Bay Otters,#002A4E
Cal State Northridge Matadorsaka CSUN Matadors,#CE1126
Cal State San Bernardino Coyotes,#0065BD
Cal State San Marcos Cougars,#007AC3
Cal Tech Beavers,#FF6720
Caldwell Cougars,#C8102E
Calgary Dinos,#E30C00
California Baptist Lancers,#002554
California,#041E42
California Lutheran Kingsmenaka Cal Lutheran Regalsaka Cal Lutheran Kingsmenaka California Lutheran Regals,#2E1A47
California Vulcans,#DA291C
Calumet Crimson Wave,#76232F
Calvin Knightsaka Calvin Lady Knights,#93282C
Cameron Aggies,#000000
Campbell Fighting Camelsaka Campbell Lady Camels,#1E252B
Campbellsville Tigersaka Campbellsville Lady Tigers,#862633
Canisius Golden Griffins,#0E2756
Capital Crusaders,#330072
Cardinal Stritch Wolvesaka Cardinal Stritch Red Devilsaka Cardinal Stritch Crusaders,#6C1D45
Carleton Knights,#0B5091
Carleton Ravens,#00000D
Carlisle Indians,#AE0F0B
Carlow Celtics,#3C1053
Carnegie Tech Tartansaka Carnegie Mellon Tartans,#990000
Carroll Fighting Saintsaka Carroll Lady Saints,#330072
Carroll Pioneers,#E35205
Carson–Newman Eaglesaka Carson-Newman Eaglesaka Carson–Newman Lady Eaglesaka Carson-Newman Lady Eagles,#FF6720
Carthage Big Redaka Carthage Lady Reds,#C8102E
Case Western Reserve Spartans,#0A304E
Castleton Spartans,#00563B
Catawba Indians,#049900
Catholic University Cardinals,#990000
Cazenovia Wildcats,#00205B
Cedar Crest Falconsaka Cedar Crest Classics,#FFC72C
Cedarville Yellow Jackets,#00263E
Centenary Cyclones,#051C2C
Centenary Gentlemenaka Centenary Gentsaka Centenary Ladies,#8A2432
Central Arkansas Bearsaka Central Arkansas Sugar Bears,#4F2D7F
Central Baptist Mustangs,#003DA5
Central Christian Tigers,#003087
Central Collegiate Hockey Associationaka CCHA,#143159
Central Connecticut Blue Devils,#1A4784
Central Dutchaka Central Flying Dutchmenaka Central Flying Dutch,#E4002B
Central Florida Knights of Pegasusaka Central Florida Lady Knights,#B3A369
Central Methodist Eaglesaka Central Methodist Lady Eagles,#006341
Central Michigan University,#6A0032
Central Missouri Mulesaka Central Missouri Jennies,#CF202E
Central Oklahoma Bronchos,#003366
Central State Marauders,#71273D
Central Washington Wildcats,#AB0032
Centre Colonelsaka Centre Praying Colonels,#000000
Chadron State Eagles,#660033
Chaminade Silverswords,#004990
Chapman Panthers,#862633
Charleston Golden Eagles,#992244
Charleston Southern Buccaneers,#002855
Charlotte 49ers,#005035
Chatham Cougars,#735990
Chattanooga Mocsaka Chattanooga Lady Mocs,#00386B
Chestnut Hill Griffins,#E4002B
Cheyney Wolves,#0D3E70
Chicago Maroons,#800000
Chicago State Cougars,#006666
Chico State Wildcats,#952945
Chowan Hawksaka Chowan Bravesaka Chowan Lady Braves,#003087
Christian Brothers Buccaneers,#CC092F
Christopher Newport Captains,#0039A6
Cincinnati,#E00122
Citadel Bulldogsaka The Citadel Bulldogs,#1F3A60
City College of New York Beaversaka New York College Beaversaka CCNY Beavers,#7d55c7
Claflin Panthers,#000000
Claremont McKenna Stags,#862633
Clarion Golden Eagles,#003366
Clark Atlanta Panthers,#CE1126
Clark Cougars,#cc0000
Clarke Prideaka Clarke Crusaders,#0C2340
Clarks Summit Defendersaka Clarks Summit Lady Defendersaka Coastal Georgia Lady Mariners,#003DA5
Clarkson Golden Knights,#03522B
Clayton State Lakers,#092C74
Cleary Cougars,#9D2235
Clemson,#F56600
Cleveland State Vikings,#006A4D
Clinton Golden Bears,#010101
Coastal Carolina Chanticleers,#006F71
Coastal Georgia Mariners,#0077C8
Coe Kohawks,#93282C
Coker Cobras,#002855
Colby Mules,#002878
Colby–Sawyer Chargersaka Colby-Sawyer Chargers,#0085CA
