teams,colors,secondary
Big 12 Conferenceaka Big 12,#EF483E,#CFD4D8
Big East Conference,#C8102E,#FFFFFF
Big Sky Conference,#005DAA,#70CDE3
Big South Conference,#0079C7,#EF7521
Big Ten Conference,#0088CE,#000000
Big West Conference,#2B265B,#8E2344
Binghamton Bearcatsaka Binghamton Colonials,#005A43,#000000
Biola Eagles,#E51636,#000000
Birmingham–Southern Panthersaka Birmingham-Southern,#000000,#BD8C00
Black Hills State Yellow Jackets,#006233,#FFC726
Blackburn Battlin' Beaversaka Blackburn Battlin Beavers,#E4002B,#010101
Bloomfield Bearsaka Bloomfield Lady Deaconsaka Bloomfield Deacons,#A4343A,#F3D03E
Bloomsburg Huskies,#6E121E,#FFDD00
Blue Mountain Toppers,#0C2340,#F0B323
Bluefield Ramblin' Ramsaka Bluefield Ramblin Rams,#00205B,#C8102E
Bluefield State Big Blues,#13294B,#B9975B
Bluffton Beavers,#512D6D,#010101
Bob Jones Bruins,#0C2340,#00A9E0
Boise State Broncos,#0033A0,#FA4616
Boston College Eagles,#8C2232,#DBCCA4
Boston University Terriers,#CC0000,#000000
Bowdoin Polar Bears,#000000,transpa
Bowie State Bulldogs,#FFCE00,#FFFFFF
Bowl Season,#BA0C2F,#A89968
Bowling Green Falcons,#4F2C1D,#FE5000
Bradley Braves,#A50000,#000000
Brandeis Judges,#002855,#C8C9C7
Brenau Golden Tigers,#010101,#EBBC4E
Brescia Bearcats,#004C97,#DAAA00
Brevard Tornadoesaka Brevard Lady Tornadoes,#003A70,#010101
Brewton–Parker Baronsaka Brewton–Parker Lady Wildcatsaka Brewton-Parker Wildcatsaka Brewton-Parker Lady Baronsaka Brewton-Parker Lady Wildcatsaka Brewton-Parker Baronsaka Brewton–Parker Lady Baronsaka Brewton–Parker Wildcats,#FE5000,#071D49
Briar Cliff Chargers,#00205B,#F2A900
Bridgeport Purple Knights,#440099,#010101
Bridgewater Eagles,#9D2235,#89734C
Bridgewater State Bears,#A6192E,#000000
Brigham Young University Cougarsaka Brigham Young Cougarsaka BYU Cougars,#002E5D,transpa
Brooklyn Bulldogsaka Brooklyn Kingsmenaka Brooklyn Kingswomenaka Brooklyn Bridges,#862041,#F1BE48
Brown Bears,#4E3629,#E03A3E
Bryant Bulldogsaka Bryant Indians,#231F20,#B09863
Bryant Lions,#9D2235,#1D1F2A
Bryn Athyn Lions,#ba0c2f,#000000
Bryn Mawr Owlsaka Bryn Mawr Mawrters,#FEDB00,#FFFFFF
Bucknell Bison,#003865,#EF5B0C
Buena Vista Beavers,#0C2340,#FFCD00
Buffalo Bullsaka Buffalo Bisonsaka Buffalo Royals,#005BBB,transpa
Buffalo State Bengals,#CC6600,#000000
Bushnell Beaconsaka Bushnell Crusaders,#041E42,#FFCD00
Butler Bulldogs,#13294B,#747678
CSU–Pueblo ThunderWolves,#00396A,#AD123A
Cabrini Cavaliersaka Cabrini Lady Cavaliers,#00205B,transpa
Cairn Highlandersaka Cairn Crimson Eagles,#6F263D,#010101
Cal Maritime Keelhaulers,#002855,#C99700
Cal Poly Mustangs,#003831,#FFE395
Cal Poly Pomona Broncos,#1E4D2B,#FFB81C
Cal State Bakersfield Roadrunners,#003594,#FFC629
Cal State Dominguez Hills Toros,#860038,#F0B310
Cal State East Bay Pioneers,#C70C2B,#FFFFFF
Cal State Fullerton Titans,#00274C,#FF7900
Cal State Los Angeles Golden Eagles,#000000,#FFCE00
Cal State Monterey Bay Otters,#002A4E,#9E8B50
Cal State Northridge Matadorsaka CSUN Matadors,#CE1126,#000000
Cal State San Bernardino Coyotes,#0065BD,#000000
Cal State San Marcos Cougars,#007AC3,#35B7E9
Cal Tech Beavers,#FF6720,#010101
Caldwell Cougars,#C8102E,#89734C
Calgary Dinos,#E30C00,#FFCC00
California Baptist Lancers,#002554,#A37400
California Golden Bears,#041E42,#FFC72C
California Lutheran Kingsmenaka Cal Lutheran Regalsaka Cal Lutheran Kingsmenaka California Lutheran Regals,#2E1A47,#F1C400
California Vulcans,#DA291C,#27251F
Calumet Crimson Wave,#76232F,#545859
Calvin Knightsaka Calvin Lady Knights,#93282C,#F2CD00
Cameron Aggies,#000000,#FFC425
Campbell Fighting Camelsaka Campbell Lady Camels,#1E252B,#EA7125
Campbellsville Tigersaka Campbellsville Lady Tigers,#862633,#B1B3B3
Canisius Golden Griffins,#0E2756,#FFBA00
Capital Crusaders,#330072,#53565A
Cardinal Stritch Wolvesaka Cardinal Stritch Red Devilsaka Cardinal Stritch Crusaders,#6C1D45,#A2AAAD
Carleton Knights,#0B5091,#F3B61D
Carleton Ravens,#00000D,#E31936
Carlisle Indians,#AE0F0B,#CFB53B
Carlow Celtics,#3C1053,#F1C400
Carnegie Tech Tartansaka Carnegie Mellon Tartans,#990000,#464646
Carroll Fighting Saintsaka Carroll Lady Saints,#330072,#CEB888
Carroll Pioneers,#E35205,#0C2340
Carson–Newman Eaglesaka Carson-Newman Eaglesaka Carson–Newman Lady Eaglesaka Carson-Newman Lady Eagles,#FF6720,#0C2340
Carthage Big Redaka Carthage Lady Reds,#C8102E,#010101
Case Western Reserve Spartans,#0A304E,#626262
Castleton Spartans,#00563B,#A4B3BB
Catawba Indians,#049900,#C21630
Catholic University Cardinals,#990000,#000000
Cazenovia Wildcats,#00205B,#FFCD00
Cedar Crest Falconsaka Cedar Crest Classics,#FFC72C,#010101
Cedarville Yellow Jackets,#00263E,#F2A900
Centenary Cyclones,#051C2C,#63666A
Centenary Gentlemenaka Centenary Gentsaka Centenary Ladies,#8A2432,#000000
Central Arkansas Bearsaka Central Arkansas Sugar Bears,#4F2D7F,#818A8F
Central Baptist Mustangs,#003DA5,#A6A6A6
Central Christian Tigers,#003087,#FFB81C
Central Collegiate Hockey Associationaka CCHA,#143159,#d12030
Central Connecticut Blue Devils,#1A4784,#C9CED1
Central Dutchaka Central Flying Dutchmenaka Central Flying Dutch,#E4002B,#C8C9C7
Central Florida Knights of Pegasusaka Central Florida Lady Knights,#B3A369,#010101
Central Methodist Eaglesaka Central Methodist Lady Eagles,#006341,#010101
Central Michigan Chippewas,#6A0032,#FFC82E
Central Missouri Mulesaka Central Missouri Jennies,#CF202E,#000000
Central Oklahoma Bronchos,#003366,#FFCC00
Central State Marauders,#71273D,#FFCB00
Central Washington Wildcats,#AB0032,#2C2A29
Centre Colonelsaka Centre Praying Colonels,#000000,#FFCC00
Chadron State Eagles,#660033,#000000
Chaminade Silverswords,#004990,#5E6E66
Chapman Panthers,#862633,#A2AAAD
Charleston Golden Eagles,#992244,#FFD200
