teams,colors,secondary
Lamar Cardinalsaka Lamar Lady Cardinals,#E31937,#000000
Lander Bearcats,#235782,#F8E463
Lane Dragons,#000080,#990000
Langston Lions,#1B3668,#F2682A
Lawrence Vikings,#003D6A,#231F20
Le Moyne Dolphins,#00452A,#FFF30D
LeMoyne–Owen Magiciansaka LeMoyne-Owen Magicians,#421383,#988344
Lebanon Valley Flying Dutchmen,#00305C,#B2B4B3
Lee Flames,#0D233F,#6F263D
Lehigh Mountain Hawks,#653819,#C2A875
Lewis Flyers,#ED174D,#000000
Liberty Flamesaka Liberty Baptist Flamesaka Liberty Lady Flamesaka Lynchburg Baptist Flames,#0A254E,#990000
Limestone Saints,#0033A1,#FDE021
Lincoln Blue Tigers,#211C41,#929396
Lincoln Memorial Railsplitters,#002461,#D1D1CC
Lindenwood Lionsaka Lindenwood Lady Lions,#000000,#DCD087
Lipscomb Bisonsaka Lipscomb Lady Bisons,#331E54,#F4AA00
Little Rock Trojansaka Arkansas-Little Rock Trojansaka UALR Trojansaka Arkansas–Little Rock Trojans,#6E2639,#A7A9AC
Lock Haven Bald Eagles,#7A0026,#231F20
Lone Star Conference,#002169,#E1251B
Long Beach State Beachaka Long Beach State Dirtbagsaka Long Beach State Athleticsaka Long Beach State 49ers,#000000,#ECAA00
Longwood Lancers,#041E42,#9EA2A2
Louisiana Tech Bulldogs,#003087,#CB333B
Louisiana Tech Lady Techsters,#69B3E7,#CB333B
Louisiana–Lafayette Ragin' Cajunsaka Louisiana-Lafayette Ragin' Cajunsaka Louisiana Ragin' Cajunsaka Southwestern Louisiana Bulldogsaka Southwestern Louisiana Ragin' Cajuns,#CE181E,#0A0203
Louisiana–Monroe Warhawksaka Northeast Louisiana State Indiansaka Louisiana-Monroe Indiansaka ULM Warhawksaka Louisiana-Monroe Warhawksaka Northeast Louisiana Indiansaka Louisiana–Monroe Indians,#840029,#FDB913
Louisville Cardinals,#C9001F,#000000
Lourdes Gray Wolves,#B94700,#000000
Loyola Greyhounds,#00694E,#CACAC8
Loyola Marymount Lions,#AB0C2F,#0076A5
Loyola Ramblers,#582931,#FDB913
Loyola Wolf Packaka Loyola Wolfpack,#660000,#F4AA00
Lubbock Christian Chaparralsaka Lubbock Christian Lady Chaps,#10147E,#F20017
MIT Engineers,#A31F34,#8A8B8C
MSOE Raidersaka Milwaukee School of Engineering Raiders,#ba122b,#000000
Macalester Scots,#01426A,#D44420
Maine Black Bears,#003263,#B0D7FF
Malone Pioneers,#003E7E,#C41230
Manhattan Jaspersaka Manhattan Lady Jaspers,#00703C,#A39161
Manhattanville Valiants,#A60438,#000000
Manitoba Bisons,#562E18,#B6985E
Mansfield Mountaineers,#D3103E,#231F20
Marian Knights,#031E51,#FDB813
Marian Sabresaka Marian Sabers,#003da5,#000000
Marist Red Foxes,#C8102E,#231F20
Marquette Golden Eaglesaka Marquette Golden Avalancheaka Marquette Warriors,#003366,#FFCC00
Marshall Thundering Herd,#00B140,#231F20
Martin Methodist RedHawks,#A6192E,#A28E2A
Mary Marauders,#00539B,#F58426
Maryland Eastern Shore Hawksaka UMES Hawks,#822433,#8B8D8E
Maryland Terrapins,#E21833,#FFD200
Maryville Saints,#C8102E,#2C2A29
Massachusetts College of Liberal Arts Trailblazersaka MCLA Trailblazers,#25408f,#a3b86a
Massachusetts Maritime Academy Buccaneersaka Massachusetts Maritime Buccaneers,#002066,#ffd527
McDaniel Green Terror,#00674D,#F6D016
McGill Redbirdsaka McGill Redmenaka McGill Martlets,#CD202C,#000000
McKendree Bearcats,#470A68,#B7970C
McNeese State Cowboysaka McNeese State Cowgirls,#00529B,#FFD204
McPherson Bulldogs,#CC0000,#000000
Memphis Tigersaka Memphis State Tigers,#003087,#898D8D
Mercer Bearsaka Mercer Baptists,#000000,#CB5307
Mercyhurst Lakers,#006633,#003366
Merrimack Warriors,#003768,#F1C400
Metro Atlantic Athletic Conference,#004FA3,#E03A3E
Metro State Roadrunners,#00447C,#D11242
Miami Hurricanes,#005030,#F05A00
Miami RedHawksaka Miami Redskins,#B61E2E,#000000
Michigan State Spartansaka Michigan Agricultural Aggies,#173F35,transpa
Michigan Tech Huskies,#000000,#FFCD00
Michigan Wolverines,#00274C,#FFCB05
Mid-America Intercollegiate Athletics Associationaka The MIAA,#003E7E,#D21242
Mid-American Conference,#0C2950,#00A363
MidAmerica Nazarene Pioneers,#071D49,#BF0D3E
Middle Tennessee State Blue Raidersaka Middle Tennessee Blue Raiders,#0066CC,#000000
Middlebury Panthers,#003882,transpa
Midwestern State Mustangs,#862633,#EAAA00
Miles Golden Bears,#580D69,#E2D000
Millersville Marauders,#000000,#EEB111
Millsaps Majors,#330066,#CCCCCC
Milwaukee Panthers,#222222,#FFB81C
Minnesota Golden Gophers,#862334,#FBB93C
Minnesota Intercollegiate Athletic Conferenceaka MIAC,#006241,#009BDE
Minnesota Morris Cougars,#8C1919,#E19B14
Minnesota State Mavericksaka MSU-Mankato Mavericksaka Minnesota State–Mankato Mavericksaka Mankato State Mavericks,#480059,#F7E400
Minnesota State–Moorhead Dragons,#A6192E,#2D2926
Minnesota–Crookston Golden Eaglesaka Minnesota Crookston Golden Eaglesaka Minnesota-Crookston Golden Eagles,#7A0019,#FFCC33
Minnesota–Duluth Bulldogsaka Minnesota Duluth Bulldogs,#7A0019,#FFCC33
Minot State Beavers,#006341,#CC0033
Mississippi College Choctaws,#003057,#F2A900
Mississippi State Bulldogsaka Mississippi A&M Aggiesaka Mississippi State Maroons,#5D1725,transpa
Mississippi Valley State Delta Devilsaka Mississippi Valley State Devilettes,#046A38,#C8102E
Missouri S&T Miners,#154734,#CEB888
Missouri Southern Lions,#00693E,#F5CF47
Missouri State Bearsaka Missouri State Lady Bears,#5E0009,#0A141E
Missouri Tigers,#000000,#F1B82D
Missouri Valley Conferenceaka Missouri Valley Football Conference,#DF3742,#003876
Missouri Western Griffons,#000000,#FFC700
Monmouth Hawks,#041E42,#A5A9AD
Montana Grizzliesaka Montana Lady Griz,#660033,#999999
Montana State Billings Yellowjackets,#002F5F,#F0B310
Montana State Bobcats,#00205B,#BF995B
Montana Tech Orediggers,#315338,#995339
Montevallo Falcons,#49176D,#FFC423
Morehead State Eagles,#005EB8,#FFCF00
Morehouse Maroon Tigers,#891E31,#000000
Morgan State Bearsaka Morgan State Lady Bears,#002D74,#FF4E00
Morrisville State Mustangsaka Morrisville Mustangsaka SUNY Morrisville Mustangs,#004730,#00966C
Mount Mercy Mustangs,#003768,#FFDD00
Mount St. Mary's Mountaineers,#002F6C,#84754E
Mount Union Purple Raiders,#661C78,#000000
Mountain West Conference,#4F2D7F,#AFAFAF
Murray State Racersaka Murray State Thoroughbreds,#002144,#ECAC00
Music City Bowl,#131C43,#6EABDD
"NAIAaka National Association of Intercollegiate Athletics",#004990,#D52130
NC State Wolfpackaka North Carolina State Wolfpackaka North Carolina A&M Aggies,#CC0000,#000000
NCAA Division Iaka NCAA Division IIIaka National Collegiate Athletic Association,#009CDE,#000000
NCAA Division II,#009CDE,#000000
NJIT Highlanders,#CC0000,#071D49
NU Bulldogs,#373C96,#D9B638
NYIT Bears,#242C39,#F2AF31
NYU Violetsaka New York University Violets,#57068C,#000000
National Collegiate Hockey Conferenceaka NCHC,#b5121b,#002b54
Navy Midshipmen,#00225B,#B4A67C
Nazareth Golden Flyers,#4b375e,#d4a66d
Nebraska Cornhuskers,#E41C38,#FDF2D9
Nebraska–Kearney Lopers,#002F6C,#CC8A00
Neumann Knights,#003466,#FFD102
Nevada Wolf Packaka Nevada Sagebrushers,#003366,#999999
New England College Pilgrimsaka New England Pilgrims,#000F30,#A0A5A8
New England Nor'eastersaka New England Noreastersaka U of New England Nor'eastersaka University of New England Nor'eastersaka U of New England Noreastersaka University of New England Noreasters,#003882,#000000
New Hampshire Wildcats,#041E42,#BBBCBC
New Haven Chargers,#004B8D,#FFC425
New Mexico Highlands Cowboysaka New Mexico Highlands Cowgirls,#502D7F,#B2B5B6
New Mexico Lobos,#BA0C2F,#A7A8AA
New Mexico State Aggies,#891216,#CCCCCC
New Orleans Privateersaka UNO Privateers,#005CA6,#A3A9AD
Newman Jets,#051C48,#B32D33
Niagara Purple Eagles,#582C83,#C7C8CA
Nicholls State Colonelsaka Nicholls Colonels,#C41230,#B2B2B2
Nichols Bison,#000000,#007A5F
Norfolk State Spartans,#007A53,#F2A900
North Alabama Lions,#46166B,#B5A268
North Carolina A&T Aggies,#004684,#FDB927
North Carolina Central Eagles,#862633,#898D8D
North Carolina Tar Heels,#7BAFD4,#13294B
North Dakota Fighting Hawksaka North Dakota Fighting Siouxaka North Dakota,#009A44,#000000
North Dakota State Bison,#005643,#FFC82E
North Florida Ospreys,#00246B,#D9D9D9
North Georgia Nighthawks,#002F87,#FFC82E
North Greenville Crusaders,#000000,#D60036
North Texas Mean Greenaka North Texas Eagles,#00853E,#000000
Northeast Conference,#0D67A4,#000000
Northeastern Huskies,#D41B2C,#000000
Northeastern State RiverHawks,#276444,#999999
Northern Arizona Lumberjacks,#003466,#FFD200
Northern Colorado Bearsaka Colorado State College Bearsaka Colorado State Bears,#013C65,#F6B000
Northern Illinois Huskiesaka NIU Huskies,#BA0C2F,#27251F
Northern Iowa Panthers,#4B116F,#FFCC00
Northern Kentucky Norse,#000000,#FFC82E
Northern Michigan Wildcats,#095339,#FFC425
Northern State Wolves,#990033,#FFCC66
Northland Lumberjacksaka Northland Lumberjills,#DC4405,#003057
Northwest Missouri State Bearcats,#006A4E,#BABBBC
Northwest Nazarene Nighthawksaka Northwest Nazarene Crusaders,#B51946,#000000
Northwestern Oklahoma State Rangers,#000000,#CC092F
Northwestern State Demonsaka Northwestern State Lady Demons,#492F92,#F78426
Northwestern Wildcats,#4E2A84,#000000
Northwood Timberwolves,#093161,#0080C3
Norwich Cadets,#87212e,#907C4B
Notre Dame Fighting Irish,#0C2340,#C99700
Notre Dame de Namur Argonauts,#003263,#DAC792
Nova Southeastern Sharks,#003893,#666D70
Oakland Golden Grizzlies,#000000,#B59A57
Oberlin Yeomen,#CF102D,#FFC72C
Occidental Tigers,#000000,#FF671F
Oglethorpe Stormy Petrels,#000000,#FFDD00
Ohio Bobcats,#00694E,transpa
Ohio Dominican Panthers,#000000,#FFC72C
Ohio State Buckeyes,#CE0F3E,#A9AFB3
Ohio Valley Conference,#A51341,#D0A675
Oklahoma Baptist Bison,#255F2B,#FCAF17
Oklahoma Christian Eagles,#660000,#CCCCCC
Oklahoma City Stars,#004B87,#000000
Oklahoma Panhandle State Aggies,#001F5B,#CF0A2C
Oklahoma Sooners,#841617,#DDCBA4
Oklahoma State Cowboysaka Oklahoma A&M Aggiesaka Oklahoma A&M Cowboysaka Oklahoma State Cowgirls,#FE5C00,#000000
Oklahoma Wesleyan Eagles,#071D49,#9D2235
Old Dominion Monarchsaka Old Dominion Lady Monarchs,#003767,#95999C
Ole Miss Rebelsaka Mississippi Rebelsaka Mississippi Flood,#14213D,#CE1126
Omaha Mavericksaka UNO Mavericksaka Nebraska–Omaha Mavericks,#000000,#D71920
Oral Roberts Golden Eagles,#002F60,#CFB67C
Orange Bowl,#F47B2A,#003764
Oregon Ducksaka Oregon Webfoots,#036936,#FEE11A
Oregon State Beaversaka Oregon Agricultural Aggies,#D73F09,#000000
Ottawa Braves,#000000,#FFBE29
Ottawa Gee-Gees,#651D32,#A7A8AA
Ouachita Baptist Tigers,#552988,#FFC627
Pac-12 Conferenceaka Pacific-12 Conference,#004B91,#000007
Pace Setters,#00337F,#FFC61E
Pacific Tigers,#000000,#F47920
Pacific West Conference,#4196B4,#000000
Paine Lions,#59178A,transpa
Patriot League,#15366F,#ED192D
Peach Bowl,#00549E,#E31837
Penn Quakersaka Pennsylvania Quakers,#011F5B,#990000
Penn State Nittany Lionsaka Penn State Lady Lions,#001E44,transpa
Pennsylvania State Athletic Conference,#003DA5,#A2AAAD
Pepperdine Waves,#00205C,#EE7624
Peru State Bobcats,#0D4D92,#D3D3D3
Pittsburg State Gorillas,#CC0C2F,#FCD116
Pittsburgh Panthersaka Pitt Panthers,#003594,#FFB81C
Pittsburgh–Johnstown Mountain Catsaka Pitt-Johnstown Mountain Cats,#1C2957,#CDB87D
Plymouth State Panthers,#135841,#000000
Point Loma Nazarene Sea Lions,#0E553F,#FDB827
Point Skyhawks,#00407A,#FCC917
Pomona College,#20438F,#CFD2AA
Pomona-Pitzer Sagehens,#20438F,#F7941D
Portland Pilots,#330072,transpa
Portland State Vikings,#154734,#A5ACAF
Post Eagles,#5E2750,#ff8200
Prairie View Panthersaka Prairie View A&M Panthers,#4F2582,#FEC325
Presbyterian Blue Hose,#0060A9,#9D2235
Princeton Tigers,#000000,#FF6000
Providence Friars,#000000,#8A8D8F
Purdue Boilermakers,#000000,#CFB991
Purdue Fort Wayne Mastodons,#000000,#C28E0E
Purdue–Northwest Prideaka Purdue-Northwest Pride,#000000,#E6D395
Queens Knightsaka Queens College Knights,#00263E,#CB2C30
Quincy Hawks,#581E00,#FFD457
Quinnipiac Bobcatsaka Quinnipiac Braves,#0A2240,#FFB819
RIT Tigers,#F76902,#000000
RPI Engineersaka Rensselaer Engineers,#E2231B,#222222
Radford Highlanders,#C2011B,#D1D3D4
Ramapo Roadrunners,#87212e,#000000
Randolph–Macon Yellow Jacketsaka Randolph-Macon Yellow Jackets,#000000,#F9DC30
Regina Rams,#004F2E,#FFC82E
Regis Rangers,#002B49,#F1C400
Rhode Island Ramsaka University of Rhode Island Rams,#74B4E6,#15213B
Rice Owls,#00205B,#C1C6C8
Richmond Spiders,#002B5E,#C32032
Rider Broncs,#981E32,#6C6F70
Riverside City Tigers,#000000,#FF5A00
Rivier Raiders,#004C97,#C1C6C8
Robert Morris Colonialsaka RMU Colonials,#14234B,#A6192E
Rochester Yellowjackets,#003B71,#FFD100
Rockhurst Hawks,#0046AD,#000000
Rocky Mountain Athletic Conference,#022E64,#FDDA00
Roger Williams Hawks,#003d6e,#FFFFFF
Rogers State Hillcats,#002244,#B71234
Rollins Tars,#0071BA,#FACF00
Rose Bowl Game,#E2231A,#007934
Rowan Profs,#3F1A0A,#EDD51C
Rutgers Scarlet Knights,#CC0033,#000000
Ryerson Rams,#002D72,#D9D9D9
SIU Edwardsville Cougars,#CC0000,#000000
SMU Mustangsaka Southern Methodist University Mustangs,#CC0035,#354CA1
SUNY Alfred Pioneersaka Alfred State Pioneersaka Alfred Pioneers,#003C71,#FFCD00
SUNY Brockport Golden Eaglesaka Brockport Golden Eaglesaka Brockport State Golden Eagles,#00533e,#FFC726
SUNY Canton Roosaka Canton State Kangaroosaka Canton Kangaroosaka Canton Roosaka SUNY Canton Kangaroosaka Canton State Roos,#004B8D,#CFAB7A
SUNY Cobleskill Tigersaka Cobleskill Tigersaka Cobleskill State Tigers,#FE5000,#010101
SUNY Delhi Broncosaka Delhi Broncosaka Delhi State Broncos,#2C5234,#FFC72C
SUNY Fredonia Blue Devilsaka Fredonia Blue Devilsaka Fredonia State Blue Devils,#0033A0,#000000
SUNY Geneseo Knightsaka Geneseo Knightsaka Geneseo State Knights,#003896,#85888B
SUNY New Paltz Hawksaka New Paltz State Hawksaka New Paltz Hawks,#00205b,#0072ce
SUNY Oneonta Red Dragonsaka Oneonta Red Dragonsaka Oneonta Red State Dragons,#cb2c30,transpa
SUNY Oswego Lakersaka Oswego State Lakersaka Oswego Lakers,#235937,#FFCC33
SUNY Plattsburgh Cardinalsaka Plattsburgh State Cardinalsaka Plattsburgh Cardinals,#C8102E,#000000
SUNY Potsdam Bearsaka Potsdam Bearsaka Potsdam State Bears,#8A1538,#A2AAAD
Sacramento State Hornets,#043927,#C4B581
Sacred Heart Pioneers,#CD1041,#3C3C3C
Saginaw Valley State Cardinals,#AC162A,#003663
Saint Anselm Hawks,#143E5F,#CCD6DC
Saint Benedict Blazersaka Saint Benedict Bennies,#be0f34,#000000
Saint Francis Red Flash,#BD1F25,#000000
Saint John's Johnnies,#be0f34,#5a7e92
Saint Joseph's Hawks,#9E1B32,#BCBDC0
Saint Joseph's Pumas,#41136C,#7C1237
Saint Leo Lions,#205C40,#F2A900
Saint Louis Billikens,#003DA5,#C8C9C7
Saint Martin's Saints,#BF0C26,#000000
Saint Mary Spires,#0D223F,#FFD101
Saint Mary's Cardinals,#C8102E,#002855
Saint Mary's Gaels,#06315B,#D80024
Saint Michael's Purple Knights,#5E2278,#DACD96
Saint Peter's Peacocksaka Saint Peter's Peahens,#2C2A29,#0072CE
Saint Rose Golden Knights,#000000,#F9B50A
Salem State Vikings,#1A3B8C,#DC6000
Salve Regina Seahawks,#0069aa,#000000
Sam Houston State Bearkats,#F56423,#FFFFFF
Samford Bulldogsaka Howard Bulldogs,#0C2340,#BA0C2F
San Diego State Aztecs,#C41230,#000000
San Diego Toreros,#003B70,#75BEE9
San Francisco Dons,#00543C,#FDBB30
San Francisco State Gators,#52247F,#FFCC00
San Jose State Spartansaka San José State Spartans,#1E5AAF,#FAB41D
Santa Clara Broncos,#862633,#000000
Saskatchewan Huskies,#00693E,#000000
Savannah State Tigersaka Savannah State Lady Tigers,#002294,#F24D17
Scranton Royals,#4a245e,#000000
Scripps College,#34715B,#000000
Seattle Pacific Falcons,#7B1416,#000000
Seattle Redhawksaka Seattle Chieftains,#AA0000,#000000
Seton Hall Pirates,#004488,#8A8D8F
Seton Hill Griffins,#BF0033,#FCD06B
Sewanee Tigers,#582C83,#CEB888
Shippensburg Red Raiders,#002395,#E00034
Shorter Hawks,#0068B3,#231F20
Siena Saintsaka Siena Indians,#006747,#FFC20F
Simon Fraser Clan,#CC0633,transpa
Sioux Falls Cougars,#492F91,#000000
Skidmore Thoroughbreds,#006A52,#FFD100
Slippery Rock The Rockaka Slippery Rock,#006951,#000000
Sonoma State Seawolves,#003366,#99BFE6
South Alabama Jaguars,#00205B,#BF0D3E
South Carolina Gamecocks,#73000A,#000000
South Carolina State Bulldogs,#841A2B,#1E4692
South Carolina–Beaufort Sand Sharks,#061844,#E2C081
South Dakota Coyotes,#AD0000,#000000
South Dakota Mines Hardrockers,#071D49,#B3A369
South Dakota State Jackrabbits,#0032A0,#FFD100
South Florida Bulls,#006747,#CFC493
Southeast Missouri State Redhawks,#C8102E,#000000
Southeastern Conference,#004B8D,#FFD046
Southeastern Fire,#000000,#E31B23
Southeastern Louisiana Lionsaka Southeastern Louisiana Lady Lions,#006341,#EAAA00
Southeastern Oklahoma State Savage Storm,#0033A0,#FFDD00
Southern Arkansas Muleriders,#003DA5,#FFD100
Southern Conference,#001489,#DA291C
Southern Connecticut Owlsaka Southern Connecticut Fighting Owls,#001489,#97999B
Southern Illinois Salukis,#660000,#000000
Southern Indiana Screaming Eagles,#002856,#CF102D
Southern Jaguarsaka Southern Lady Jaguarsaka Southern University Jaguars,#05356E,#FFC72C
Southern Maine Huskiesaka USM Huskies,#1E3B78,#FFCC00
Southern Miss Golden Eaglesaka Southern Miss Lady Eagles,#000000,#FFD046
Southern Nazarene Crimson Storm,#891717,#000000
Southern New Hampshire Penmen,#1A326C,#FAB20B
Southern Oregon Raiders,#C8102E,#000000
Southern Utah Thunderbirds,#C41425,#231F20
Southland Conference,#00264B,#FFB30D
Southwest Baptist Bearcats,#4A217E,#C2C6C7
Southwest Minnesota State Mustangs,#3A1807,#BCAA71
Southwestern Moundbuilders,#8031A7,#000000
Southwestern Oklahoma State Bulldogs,#1B365D,#888B8D
Southwestern Pirates,#000000,#FFCC33
Spring Hill Badgers,#49176D,transpa
Springfield Prideaka Springfield Maroonsaka Springfield Gymnastsaka Springfield Chiefs,#862633,transpa
St. Bonaventure Bonniesaka St. Bonaventure Brown Squawsaka St. Bonaventure Brown Indians,#54261A,#FDB726
St. Catherine Wildcats,#491A6A,#F7D465
St. Cloud State Huskies,#A10209,#000000
St. Edward's Hilltoppers,#002566,#998F4D
St. Francis Brooklyn Terriers,#0038A8,#CE1126
St. John's Red Stormaka St. John's Redmen,#C3002F,#011E41
St. Lawrence Saints,#AF1E2D,#4B2B23
St. Mary's Rattlers,#004C97,#F2C75C
St. Norbert Green Knightsaka Saint Norbert Green Knights,#1A472B,#EDBD3D
St. Olaf Olesaka Saint Olaf Oles,#000000,transpa
St. Scholastica Saintsaka College of St. Scholastica Saintsaka Saint Scholastica Saints,#0033a0,#f1be48
St. Thomas (Minnesota) Tommiesaka St. Thomas Minnesota Tommiesaka Saint Thomas Minnesota Tommiesaka Saint Thomas (Minnesota) Tommies,#522874,#868686
Stanford Cardinalaka Stanford Indiansaka Stanford,#8C1515,transpa
Stanislaus State Warriors,#E31B23,#BFB241
Stephen F. Austin Lumberjacksaka Stephen F. Austin Ladyjacks,#5F259F,#B1B3B3
Sterling Warriors,#9B2743,#041E42
Stetson Hatters,#006747,#000000
Stevenson Mustangs,#004E42,#000000
Stillman Tigers,#16304B,#C5B358
Stonehill Skyhawks,#2F2975,#17438A
Stony Brook Seawolvesaka Stony Brook Soundmenaka Stony Brook Warriorsaka Stony Brook Baymenaka Stony Brook Patriots,#990000,#16243E
Suffolk Rams,#142f53,#c6a141
Sugar Bowl,#014B94,#FDB524
Summit League,#00549E,#939598
Sun Belt Conference,#0C2340,#F2A900
Sunshine State Conference,#0032A0,#FFB81C
Swarthmore Garnet,#9D2235,#A2AAAD
Syracuse Orangeaka Syracuse Orangemen,#D44500,#0C233F
TCU Horned Frogs,#4D1979,transpa
Tabor Bluejays,#002D72,#FFCD00
Tampa Spartans,#000000,#C8102E
Tarleton State Texansaka Tarleton State TexAnns,#4F2D7F,#000000
Temple Owls,#990033,#222222
Tennessee State Tigersaka Tennessee State Lady Tigers,#00539F,#D2232A
Tennessee Tech Golden Eagles,#4F2984,#FFDD00
Tennessee Volunteersaka Tennessee Lady Volunteers,#FF8200,#FFFFFF
Texas A&M Aggies,#500000,transpa
Texas A&M International Dustdevils,#61162D,#CCCCCC
Texas A&M–Commerce Lionsaka Texas A&M-Commerce Lions,#0A2846,#EDAC09
Texas A&M–Corpus Christi Islandersaka Texas A&M-Corpus Christi Islanders,#0067C5,#007F3E
Texas A&M–Kingsville Javelinasaka Texas A&M-Kingsville Javelinas,#005DAA,#FCC01F
Texas Longhorns,#BF5700,transpa
Texas Southern Tigersaka Texas Southern Lady Tigers,#6F263D,#A2AAAD
Texas State Bobcatsaka Southwest Texas State Bobcats,#501214,#8D734A
Texas Tech Red Raidersaka Texas Tech Lady Raiders,#CC0000,#000000
Texas Woman's Pioneers,#850928,#000000
Texas–Arlington Mavericksaka UT Arlington Mavericksaka Texas-Arlington Mavericks,#0064B1,#F58025
Texas–Pan American Broncsaka Texas-Pan American Broncsaka UTPA Broncs,#006600,#FF6600
Texas–Permian Basin Falcons,#E35205,#000000
Tiffin Dragons,#00623B,#FFF14F
Toledo Rockets,#003E7E,#FFD200
Toronto Varsity Blues,#00204e,transpa
Towson Tigers,#000000,#FFBB00
Transylvania Pioneersaka Kentucky University Pioneers,#B20D35,#231F20
Trine Thunder,#00305c,#c5b783
Trinity Bantams,#00305C,#F7D117
Trinity Tigers,#723130,#BBBCBC
Troy Trojans,#6D0017,#B2B3B5
Truman Bulldogs,#510C76,transpa
Tufts Jumbos,#3E8EDE,#512C1D
Tulane Green Waveaka Tulane Olive and Blue,#005837,#00A4D7
Tulsa Golden Hurricane,#002D72,#C8102E
Tuskegee Golden Tigers,#7B0707,#F2BD2C
UAB Blazers,#1E6B52,#CDC26C
UBC Thunderbirds,#002145,#F2A900
UC Davis Aggies,#002855,#B3A369
UC Irvine Anteaters,#0C2340,#FFC72C
UC Merced Golden Bobcats,#072B31,#B3A369
UC Riverside Highlanders,#003DA5,#FFB81C
UC San Diego Tritonsaka UCSD Tritons,#182B49,#FFCD00
UC Santa Barbara Gauchosaka UCSB Gauchos,#004D9F,#FFB814
UC Santa Cruz Banana Slugs,#0F1640,#E0A600
UCF Knights,#000000,#B7A369
UCLA Bruins,#2D68C4,#F2A900
UE Red Warriorsaka UE Junior Warriors,#ED2939,transpa
UHV Jaguars,#E81C18,#CCA77C
UIC Flames,#091F40,#AC1E2D
UIS Prairie Stars,#0C2340,#A89968
UMBC Retrievers,#000000,#FDB515
UMSL Tritons,#B5121B,#EEB211
UMass Boston Beaconsaka Massachusetts–Boston Beaconsaka Massachusetts-Boston Beaconsaka Massachusetts Boston Beacons,#005A8B,#A0CFEB
UMass Dartmouth Corsairsaka Massachusetts Dartmouth Corsairsaka Massachusetts–Dartmouth Corsairsaka Massachusetts-Dartmouth Corsairs,#003764,#FEC24D
UMass Lowell River Hawks,#00549F,#CF202F
UMass Minutemenaka Massachusetts Minutewomenaka Massachusetts Redmenaka Massachusetts State Aggiesaka UMass Redmenaka Massachusetts Minutemenaka UMass Minutewomen,#881C1C,#27251F
UNC Asheville Bulldogs,#003DA5,#000000
UNC Greensboro Spartans,#0F2044,#FFB71B
UNC Pembroke Braves,#000000,#A67F31
UNC Wilmington Seahawks,#006666,#FFD600
UNLV Rebelsaka UNLV Runnin' Rebelsaka UNLV Lady Rebels,#CF0A2C,#CAC8C8
UP Fighting Maroonsaka UP Parrots,#7B1113,#014421
USC Aiken Pacers,#75263B,#002E62
USC Trojans,#9D2235,#FFC72C
USC Upstate Spartans,#046A38,#000000
UST Growling Tigersaka UST Glowing Goldies,#FCBF15,#231F20
UT Martin Skyhawksaka Tennessee–Martin Skyhawksaka Tennessee-Martin Skyhawks,#002649,#F77F00
UTEP Minersaka Texas Western Miners,#041E42,#FF8200
UTRGV Vaquerosaka Texas-Rio Grande Valley Vaquerosaka Texas–Rio Grande Valley Vaqueros,#F05023,#646469
UTSA Roadrunners,#002244,#DD4814
Union Bulldogs,#AA0C31,#231F20
Union Dutchmenaka Union Dutchwomen,#822433,transpa
Upper Iowa Peacocks,#0D1030,#689CD3
Utah State Aggies,#00263A,#8A8D8F
Utah Utesaka Utah Redskinsaka Utah Red Rocks,#CC0000,#000000
Utah Valley Wolverines,#275D38,#000000
Utica Pioneers,#0c223f,#e75200
VCU Rams,#000000,#FFB300
VMI Keydets,#AE122A,#FFD619
Valdosta State Blazers,#CC0000,#000000
Valparaiso Beaconsaka Valparaiso Crusaders,#381E0E,#FFCC00
Vanderbilt Commodores,#000000,#CEB888
Vermont Catamounts,#005710,#FFC20E
Villanova Wildcats,#00205B,#13B5EA
Virginia Cavaliers,#232D4B,#F84C1E
Virginia Tech Hokiesaka VPI Fighting Gobblersaka Virginia Tech Fighting Gobblers,#861F41,#E87722
WPI Engineers,#AC2B37,#A9B0B7
Wagner Seahawks,#004331,#CCCCCC
Wake Forest Demon Deacons,#2C2A29,#CEB888
Walsh Cavaliers,#6D0020,#B6985A
Washburn Ichabods,#003A70,transpa
Washington & Jefferson Presidentsaka Washington and Jefferson Presidents,#000000,#A4343A
Washington Huskies,#4B2E83,#B7A57A
Washington State Cougars,#981E32,#53565A
Washington University Bearsaka WUSTL Bears,#A51417,#007360
Washington and Lee Generalsaka Washington & Lee Generals,#003399,transpa
Wayne State Warriors,#115E56,#C79316
Wayne State Wildcats,#000000,#FBBF22
Weber State Wildcats,#4B2682,#A1A1A4
Wentworth Institute of Technology Leopardsaka Wentworth Leopardsaka WIT Leopards,#cf142b,#000000
Wesleyan Cardinals,#d72121,transpa
West Alabama Tigers,#A6192E,#000000
West Chester Golden Rams,#540E69,#FAAA20
West Coast Conference,#24CAD2,#000000
West Florida Argonauts,#0072CE,#00AF66
West Georgia Wolves,#0033A1,#DB1A21
West Liberty Hilltoppers,#000000,#FFCD33
West Texas A&M Buffaloes,#581818,#000000
West Virginia Mountaineers,#002855,#EAAA00
West Virginia State Yellow Jackets,#000000,#C99700
Western Athletic Conference,#98002E,#D9D4CC
Western Carolina Catamounts,#592C88,#B9975B
Western Colorado Mountaineersaka Western State Colorado Mountaineers,#A71930,#565A5C
